,Dates,Location,Opposition,Outcome,defendingDict,goalsAgainst,goalsFor,opposingPlayers,starsPlayers
0,2019-10-04T00:30:00Z,home,6,L,"{1: 'right', 2: 'left', 3: 'right'}",2,1,"[[8475745, 8475780, 8476439, 8478443, 8480944, 8465009, 8470638, 8470655, 8478046, 8476792, 8476891, 8476374, 8473419, 8479325, 8478498, 8477365, 8480901, 8477956, 8474000, 8471276], [8471695]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8471392, 8471228, 8475794, 8470621, 8476166], [8471750]]"
1,2019-10-06T00:00:00Z,away,19,L,"{1: 'right', 2: 'left', 3: 'right'}",3,2,"[[8474125, 8478104, 8475170, 8477482, 8477952, 8475768, 8470151, 8470257, 8475098, 8474565, 8478407, 8477964, 8476892, 8474102, 8476897, 8475753, 8475158, 8475765, 8480023, 8476907, 8474145], [8476412]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8479587, 8475794, 8480769, 8477810, 8471392], [8471750]]"
2,2019-10-06T23:00:00Z,away,17,L,"{1: 'left', 2: 'right', 3: 'left'}",4,3,"[[8471716, 8479425, 8479395, 8475747, 8471242, 8477511, 8476822, 8471794, 8470047, 8477479, 8477455, 8477215, 8481433, 8478036, 8477946, 8477454, 8470144, 8470110, 8470318, 8476960, 8477474], [8473541]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8479587, 8475794, 8480769, 8477810, 8471392], [8471418]]"
3,2019-10-08T23:00:00Z,away,15,W,"{1: 'left', 2: 'right', 3: 'left', 4: 'right'}",3,4,"[[8475324, 8471214, 8475200, 8477944, 8475209, 8476905, 8473563, 8474189, 8477903, 8476894, 8475462, 8478399, 8476880, 8474176, 8474590, 8471698, 8477343, 8475744, 8475343], [8474651]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8476902, 8478449, 8475413, 8480769, 8476166, 8471228, 8479587, 8475794, 8478495, 8477810, 8471392], [8471750]]"
4,2019-10-11T00:30:00Z,home,20,L,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",3,2,"[[8478397, 8470966, 8474673, 8478585, 8474150, 8476346, 8476356, 8473473, 8479314, 8477497, 8474612, 8474628, 8477496, 8478396, 8473564, 8476873, 8478233, 8477935, 8478512, 8478430], [8479496]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8476902, 8478449, 8475413, 8480769, 8477810, 8471228, 8479587, 8475794, 8478495, 8476166], [8471750]]"
5,2019-10-13T00:00:00Z,home,15,L,"{1: 'right', 2: 'left', 3: 'right'}",4,1,"[[8475324, 8471214, 8475200, 8477944, 8475209, 8473563, 8474189, 8477903, 8475343, 8476894, 8475462, 8478399, 8476880, 8474176, 8474590, 8471698, 8477343, 8475744, 8476905], [8478492]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8477450, 8476902, 8478449, 8480769, 8477810, 8471228, 8479587, 8475794, 8475413, 8476166], [8471418]]"
6,2019-10-14T19:00:00Z,away,7,L,"{1: 'right', 2: 'left', 3: 'right'}",4,0,"[[8474618, 8478403, 8480035, 8476918, 8471743, 8476931, 8473449, 8475728, 8477933, 8480839, 8476878, 8476525, 8479999, 8475784, 8477499, 8478109, 8478542, 8475149, 8477508, 8477839, 8477337], [8475622]]","[[8476467, 8475906, 8480036, 8471284, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8477450, 8476902, 8478449, 8475413, 8476166, 8471228, 8479587, 8475794, 8480769, 8477810], [8471750]]"
7,2019-10-16T23:00:00Z,away,29,L,"{1: 'right', 2: 'left', 3: 'right'}",3,2,"[[8477495, 8478460, 8477505, 8474715, 8474679, 8481650, 8479400, 8474062, 8477947, 8476850, 8477416, 8476432, 8480074, 8478882, 8480205, 8475233, 8478906, 8473422, 8476449, 8478541, 8478567], [8476914]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8477450, 8476902, 8478449, 8478495, 8476166, 8471228, 8479587, 8475794, 8475413, 8477810], [8471750]]"
8,2019-10-18T23:00:00Z,away,5,L,"{1: 'right', 2: 'left', 3: 'right'}",4,2,"[[8471677, 8474602, 8478507, 8475208, 8478866, 8479293, 8477955, 8480946, 8477969, 8477010, 8478043, 8479944, 8480341, 8476927, 8471724, 8477404, 8471887, 8471675, 8477244, 8475790, 8480945], [8476899]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8475794, 8477810, 8479587], [8471418]]"
9,2019-10-19T23:00:00Z,away,4,W,"{1: 'left', 2: 'right', 3: 'left'}",1,4,"[[8477948, 8477462, 8478500, 8478439, 8477290, 8475763, 8476461, 8471702, 8475752, 8476872, 8478067, 8474037, 8473512, 8473485, 8476906, 8474027, 8479358, 8474161, 8477502], [8479394]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8475794, 8477810, 8479587], [8471750]]"
