play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8478449,1,00:22,0,0,-36.0,35.0
TAKEAWAY,8476902,1,00:25,0,0,-84.0,22.0
SHOT,8470621,1,01:09,0,0,47.0,19.0
TAKEAWAY,8480036,1,02:45,0,0,-41.0,-40.0
SHOT,8480036,1,03:04,0,0,41.0,-24.0
SHOT,8475906,1,05:26,0,1,-47.0,-23.0
TAKEAWAY,8475794,1,06:15,0,1,23.0,-10.0
GIVEAWAY,8478495,1,07:16,0,1,84.0,-19.0
TAKEAWAY,8478449,1,08:28,0,1,6.0,30.0
SHOT,8470794,1,08:31,0,1,49.0,-20.0
GIVEAWAY,8471699,1,10:27,0,1,-87.0,12.0
SHOT,8476166,1,11:14,0,1,66.0,-19.0
TAKEAWAY,8478449,1,11:51,0,1,98.0,25.0
GOAL,8478495,1,13:10,1,1,74.0,-1.0
TAKEAWAY,8478495,1,14:34,1,1,-49.0,-20.0
SHOT,8476166,1,16:21,1,2,9.0,-34.0
GIVEAWAY,8475906,1,18:57,1,2,-53.0,-9.0
GIVEAWAY,8471750,2,00:13,1,2,-86.0,-35.0
GIVEAWAY,8476166,2,02:03,1,3,-39.0,-35.0
SHOT,8471284,2,02:34,1,3,39.0,-16.0
SHOT,8475906,2,02:40,1,3,33.0,-26.0
SHOT,8480036,2,03:39,1,4,59.0,23.0
SHOT,8475794,2,04:05,1,4,52.0,25.0
SHOT,8475413,2,04:10,1,4,66.0,-13.0
GIVEAWAY,8476902,2,04:39,1,4,83.0,-35.0
TAKEAWAY,8476889,2,05:31,1,4,-71.0,34.0
SHOT,8476889,2,06:03,1,4,72.0,9.0
GIVEAWAY,8470621,2,06:45,1,4,-34.0,-40.0
GIVEAWAY,8476902,2,06:49,1,4,-14.0,-31.0
TAKEAWAY,8470794,2,07:40,1,5,-93.0,-17.0
SHOT,8478495,2,09:07,1,6,86.0,-6.0
SHOT,8477406,2,10:45,1,6,79.0,11.0
TAKEAWAY,8475794,2,12:21,1,7,34.0,-36.0
SHOT,8471260,2,12:42,1,7,77.0,-4.0
SHOT,8471699,2,12:43,1,7,77.0,0.0
SHOT,8480036,2,14:53,1,7,76.0,-16.0
SHOT,8478495,2,15:32,1,7,51.0,26.0
SHOT,8480036,2,16:04,1,7,41.0,3.0
GOAL,8475794,2,16:38,2,7,66.0,-23.0
TAKEAWAY,8477450,2,16:55,2,7,-60.0,40.0
GIVEAWAY,8477406,2,17:56,2,7,75.0,12.0
TAKEAWAY,8477450,2,18:11,2,7,-31.0,-23.0
SHOT,8476902,2,19:58,2,7,-97.0,-11.0
TAKEAWAY,8476467,3,01:23,2,7,49.0,38.0
SHOT,8478495,3,02:56,2,7,64.0,14.0
SHOT,8476166,3,05:02,2,7,42.0,-16.0
GIVEAWAY,8471418,3,05:33,2,7,-56.0,40.0
GOAL,8475794,3,07:03,3,7,76.0,12.0
SHOT,8475794,3,07:16,3,7,38.0,3.0
GIVEAWAY,8478449,3,07:52,3,7,97.0,4.0
SHOT,8473994,3,08:16,3,7,85.0,-6.0
GIVEAWAY,8471260,3,09:25,3,7,93.0,25.0
TAKEAWAY,8480036,3,09:30,3,7,-83.0,30.0
GIVEAWAY,8471284,3,10:03,3,7,-89.0,15.0
GOAL,8473994,3,13:02,4,7,77.0,-15.0
SHOT,8476166,3,13:34,4,7,44.0,18.0
SHOT,8470794,3,17:03,4,7,79.0,-5.0
SHOT,8476467,3,17:41,4,7,77.0,10.0
